/content/datasets/cifar10
Files already downloaded and verified
Files already downloaded and verified
Number of 'training' Data:  50000
Training Classifier @ Epoch 9: 100% 48/48 [00:21<00:00,  2.23it/s, acc1=37.004, acc2=62.177, loss=1.165, lr=1.00000e-03]
Evaluation Classifier @ Epoch 9: 100% 9/9 [00:02<00:00,  3.64it/s, acc1=36.957, acc2=60.970, loss=1.166]
Training Classifier @ Epoch 10: 100% 48/48 [00:21<00:00,  2.23it/s, acc1=37.691, acc2=62.240, loss=1.142, lr=1.00000e-03]
Evaluation Classifier @ Epoch 10: 100% 9/9 [00:02<00:00,  3.75it/s, acc1=37.543, acc2=63.401, loss=1.136]
Training Classifier @ Epoch 11: 100% 48/48 [00:21<00:00,  2.23it/s, acc1=37.862, acc2=62.937, loss=1.140, lr=1.00000e-03]
Evaluation Classifier @ Epoch 11: 100% 9/9 [00:02<00:00,  3.69it/s, acc1=37.912, acc2=61.849, loss=1.133]
Training Classifier @ Epoch 12: 100% 48/48 [00:21<00:00,  2.23it/s, acc1=38.318, acc2=63.265, loss=1.124, lr=1.00000e-03]
Evaluation Classifier @ Epoch 12: 100% 9/9 [00:02<00:00,  3.64it/s, acc1=38.184, acc2=62.695, loss=1.135]
Training Classifier @ Epoch 13: 100% 48/48 [00:21<00:00,  2.23it/s, acc1=38.566, acc2=63.588, loss=1.118, lr=1.00000e-03]
Evaluation Classifier @ Epoch 13: 100% 9/9 [00:02<00:00,  3.73it/s, acc1=38.574, acc2=61.057, loss=1.177]
Training Classifier @ Epoch 14: 100% 48/48 [00:21<00:00,  2.23it/s, acc1=38.621, acc2=63.173, loss=1.129, lr=1.00000e-03]
Evaluation Classifier @ Epoch 14: 100% 9/9 [00:02<00:00,  3.68it/s, acc1=38.140, acc2=63.422, loss=1.120]
Training Classifier @ Epoch 15: 100% 48/48 [00:21<00:00,  2.23it/s, acc1=38.965, acc2=64.038, loss=1.106, lr=1.00000e-03]
Evaluation Classifier @ Epoch 15: 100% 9/9 [00:02<00:00,  3.64it/s, acc1=38.824, acc2=61.491, loss=1.140]
Training Classifier @ Epoch 16: 100% 48/48 [00:21<00:00,  2.23it/s, acc1=39.244, acc2=64.093, loss=1.104, lr=1.00000e-03]
Evaluation Classifier @ Epoch 16: 100% 9/9 [00:02<00:00,  3.77it/s, acc1=38.921, acc2=65.310, loss=1.111]
Training Classifier @ Epoch 17: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=39.712, acc2=64.333, loss=1.095, lr=1.00000e-03]
Evaluation Classifier @ Epoch 17: 100% 9/9 [00:02<00:00,  3.77it/s, acc1=39.225, acc2=64.366, loss=1.098]
Training Classifier @ Epoch 18: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=39.557, acc2=64.587, loss=1.094, lr=1.00000e-03]
Evaluation Classifier @ Epoch 18: 100% 9/9 [00:02<00:00,  3.71it/s, acc1=39.529, acc2=64.475, loss=1.094]
Training Classifier @ Epoch 19: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=40.206, acc2=65.029, loss=1.078, lr=1.00000e-03]
Evaluation Classifier @ Epoch 19: 100% 9/9 [00:02<00:00,  3.65it/s, acc1=39.410, acc2=64.572, loss=1.105]
(Epoch: 19) > Model Saved.
Training Classifier @ Epoch 20: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=40.096, acc2=65.116, loss=1.077, lr=1.00000e-03]
Evaluation Classifier @ Epoch 20: 100% 9/9 [00:02<00:00,  3.73it/s, acc1=39.594, acc2=63.770, loss=1.111]
Training Classifier @ Epoch 21: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=40.629, acc2=65.381, loss=1.072, lr=1.00000e-03]
Evaluation Classifier @ Epoch 21: 100% 9/9 [00:02<00:00,  3.68it/s, acc1=40.028, acc2=65.104, loss=1.090]
Training Classifier @ Epoch 22: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=40.741, acc2=65.997, loss=1.063, lr=1.00000e-03]
Evaluation Classifier @ Epoch 22: 100% 9/9 [00:02<00:00,  3.70it/s, acc1=39.963, acc2=65.137, loss=1.085]
Training Classifier @ Epoch 23: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=41.062, acc2=65.993, loss=1.052, lr=1.00000e-03]
Evaluation Classifier @ Epoch 23: 100% 9/9 [00:02<00:00,  3.69it/s, acc1=39.920, acc2=64.572, loss=1.104]
Training Classifier @ Epoch 24: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=41.156, acc2=66.001, loss=1.052, lr=1.00000e-03]
Evaluation Classifier @ Epoch 24: 100% 9/9 [00:02<00:00,  3.71it/s, acc1=40.419, acc2=62.598, loss=1.145]
Training Classifier @ Epoch 25: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=41.459, acc2=66.262, loss=1.046, lr=1.00000e-03]
Evaluation Classifier @ Epoch 25: 100% 9/9 [00:02<00:00,  3.74it/s, acc1=40.299, acc2=66.254, loss=1.077]
Training Classifier @ Epoch 26: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=41.180, acc2=66.394, loss=1.057, lr=1.00000e-03]
Evaluation Classifier @ Epoch 26: 100% 9/9 [00:02<00:00,  3.70it/s, acc1=40.017, acc2=65.668, loss=1.084]
Training Classifier @ Epoch 27: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=41.738, acc2=66.744, loss=1.034, lr=1.00000e-03]
Evaluation Classifier @ Epoch 27: 100% 9/9 [00:02<00:00,  3.67it/s, acc1=40.918, acc2=64.041, loss=1.116]
Training Classifier @ Epoch 28: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=41.760, acc2=66.901, loss=1.031, lr=1.00000e-03]
Evaluation Classifier @ Epoch 28: 100% 9/9 [00:02<00:00,  3.73it/s, acc1=41.102, acc2=65.158, loss=1.088]
Training Classifier @ Epoch 29: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=41.779, acc2=66.791, loss=1.031, lr=1.00000e-03]
Evaluation Classifier @ Epoch 29: 100% 9/9 [00:02<00:00,  3.67it/s, acc1=40.614, acc2=62.381, loss=1.178]
Training Classifier @ Epoch 30: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=42.767, acc2=67.102, loss=1.004, lr=2.00000e-04]
Evaluation Classifier @ Epoch 30: 100% 9/9 [00:02<00:00,  3.53it/s, acc1=41.189, acc2=65.495, loss=1.084]
Training Classifier @ Epoch 31: 100% 48/48 [00:21<00:00,  2.23it/s, acc1=42.924, acc2=67.365, loss=0.994, lr=2.00000e-04]
Evaluation Classifier @ Epoch 31: 100% 9/9 [00:02<00:00,  3.66it/s, acc1=41.352, acc2=65.495, loss=1.099]
Training Classifier @ Epoch 32: 100% 48/48 [00:21<00:00,  2.23it/s, acc1=43.152, acc2=67.688, loss=0.989, lr=2.00000e-04]
Evaluation Classifier @ Epoch 32: 100% 9/9 [00:02<00:00,  3.63it/s, acc1=41.395, acc2=65.734, loss=1.098]
Training Classifier @ Epoch 33: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.138, acc2=67.729, loss=0.987, lr=2.00000e-04]
Evaluation Classifier @ Epoch 33: 100% 9/9 [00:02<00:00,  3.47it/s, acc1=41.417, acc2=65.885, loss=1.099]
Training Classifier @ Epoch 34: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.142, acc2=67.930, loss=0.985, lr=2.00000e-04]
Evaluation Classifier @ Epoch 34: 100% 9/9 [00:02<00:00,  3.70it/s, acc1=41.439, acc2=65.907, loss=1.102]
Training Classifier @ Epoch 35: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.229, acc2=67.769, loss=0.982, lr=2.00000e-04]
Evaluation Classifier @ Epoch 35: 100% 9/9 [00:02<00:00,  3.55it/s, acc1=41.374, acc2=65.961, loss=1.091]
Training Classifier @ Epoch 36: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.506, acc2=68.095, loss=0.980, lr=2.00000e-04]
Evaluation Classifier @ Epoch 36: 100% 9/9 [00:02<00:00,  3.67it/s, acc1=41.265, acc2=65.126, loss=1.132]
Training Classifier @ Epoch 37: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.451, acc2=67.991, loss=0.976, lr=2.00000e-04]
Evaluation Classifier @ Epoch 37: 100% 9/9 [00:02<00:00,  3.69it/s, acc1=41.363, acc2=66.037, loss=1.102]
Training Classifier @ Epoch 38: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.616, acc2=68.148, loss=0.975, lr=2.00000e-04]
Evaluation Classifier @ Epoch 38: 100% 9/9 [00:02<00:00,  3.64it/s, acc1=41.471, acc2=66.048, loss=1.112]
Training Classifier @ Epoch 39: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.563, acc2=68.231, loss=0.975, lr=2.00000e-04]
Evaluation Classifier @ Epoch 39: 100% 9/9 [00:02<00:00,  3.66it/s, acc1=41.254, acc2=65.679, loss=1.113]
(Epoch: 39) > Model Saved.
Training Classifier @ Epoch 40: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.524, acc2=68.150, loss=0.973, lr=2.00000e-04]
Evaluation Classifier @ Epoch 40: 100% 9/9 [00:02<00:00,  3.68it/s, acc1=41.385, acc2=65.614, loss=1.130]
Training Classifier @ Epoch 41: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.656, acc2=68.254, loss=0.968, lr=2.00000e-04]
Evaluation Classifier @ Epoch 41: 100% 9/9 [00:02<00:00,  3.72it/s, acc1=41.330, acc2=66.037, loss=1.112]
Training Classifier @ Epoch 42: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.756, acc2=68.477, loss=0.968, lr=2.00000e-04]
Evaluation Classifier @ Epoch 42: 100% 9/9 [00:02<00:00,  3.64it/s, acc1=41.395, acc2=66.471, loss=1.091]
Training Classifier @ Epoch 43: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.815, acc2=68.481, loss=0.967, lr=2.00000e-04]
Evaluation Classifier @ Epoch 43: 100% 9/9 [00:02<00:00,  3.57it/s, acc1=41.276, acc2=66.895, loss=1.084]
Training Classifier @ Epoch 44: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.734, acc2=68.376, loss=0.968, lr=2.00000e-04]
Evaluation Classifier @ Epoch 44: 100% 9/9 [00:02<00:00,  3.42it/s, acc1=41.602, acc2=66.526, loss=1.097]
Training Classifier @ Epoch 45: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.840, acc2=68.412, loss=0.964, lr=2.00000e-04]
Evaluation Classifier @ Epoch 45: 100% 9/9 [00:02<00:00,  3.64it/s, acc1=41.493, acc2=66.222, loss=1.132]
Training Classifier @ Epoch 46: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.799, acc2=68.610, loss=0.962, lr=2.00000e-04]
Evaluation Classifier @ Epoch 46: 100% 9/9 [00:02<00:00,  3.56it/s, acc1=41.374, acc2=66.178, loss=1.120]
Training Classifier @ Epoch 47: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=43.929, acc2=68.567, loss=0.957, lr=2.00000e-04]
Evaluation Classifier @ Epoch 47: 100% 9/9 [00:02<00:00,  3.70it/s, acc1=41.591, acc2=66.612, loss=1.126]
Training Classifier @ Epoch 48: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.023, acc2=68.522, loss=0.957, lr=2.00000e-04]
Evaluation Classifier @ Epoch 48: 100% 9/9 [00:02<00:00,  3.66it/s, acc1=41.417, acc2=67.285, loss=1.083]
Training Classifier @ Epoch 49: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=44.073, acc2=68.640, loss=0.956, lr=2.00000e-04]
Evaluation Classifier @ Epoch 49: 100% 9/9 [00:02<00:00,  3.52it/s, acc1=41.319, acc2=66.949, loss=1.097]
Training Classifier @ Epoch 50: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.078, acc2=68.730, loss=0.958, lr=2.00000e-04]
Evaluation Classifier @ Epoch 50: 100% 9/9 [00:02<00:00,  3.66it/s, acc1=41.602, acc2=66.732, loss=1.104]
Training Classifier @ Epoch 51: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.120, acc2=68.831, loss=0.953, lr=2.00000e-04]
Evaluation Classifier @ Epoch 51: 100% 9/9 [00:02<00:00,  3.60it/s, acc1=41.428, acc2=66.840, loss=1.124]
Training Classifier @ Epoch 52: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=44.293, acc2=68.874, loss=0.950, lr=2.00000e-04]
Evaluation Classifier @ Epoch 52: 100% 9/9 [00:02<00:00,  3.55it/s, acc1=41.287, acc2=66.623, loss=1.107]
Training Classifier @ Epoch 53: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=44.084, acc2=68.856, loss=0.950, lr=2.00000e-04]
Evaluation Classifier @ Epoch 53: 100% 9/9 [00:02<00:00,  3.62it/s, acc1=41.374, acc2=66.884, loss=1.110]
Training Classifier @ Epoch 54: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=44.366, acc2=68.943, loss=0.948, lr=2.00000e-04]
Evaluation Classifier @ Epoch 54: 100% 9/9 [00:02<00:00,  3.60it/s, acc1=41.504, acc2=66.016, loss=1.145]
Training Classifier @ Epoch 55: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.342, acc2=69.045, loss=0.946, lr=2.00000e-04]
Evaluation Classifier @ Epoch 55: 100% 9/9 [00:02<00:00,  3.63it/s, acc1=41.797, acc2=66.254, loss=1.148]
Training Classifier @ Epoch 56: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.387, acc2=69.104, loss=0.944, lr=2.00000e-04]
Evaluation Classifier @ Epoch 56: 100% 9/9 [00:02<00:00,  3.66it/s, acc1=41.471, acc2=66.743, loss=1.118]
Training Classifier @ Epoch 57: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.401, acc2=69.080, loss=0.945, lr=2.00000e-04]
Evaluation Classifier @ Epoch 57: 100% 9/9 [00:02<00:00,  3.69it/s, acc1=41.569, acc2=67.133, loss=1.112]
Training Classifier @ Epoch 58: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=44.442, acc2=69.082, loss=0.942, lr=2.00000e-04]
Evaluation Classifier @ Epoch 58: 100% 9/9 [00:02<00:00,  3.73it/s, acc1=41.536, acc2=67.285, loss=1.103]
Training Classifier @ Epoch 59: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.592, acc2=69.120, loss=0.939, lr=2.00000e-04]
Evaluation Classifier @ Epoch 59: 100% 9/9 [00:02<00:00,  3.71it/s, acc1=41.645, acc2=66.927, loss=1.133]
(Epoch: 59) > Model Saved.
Training Classifier @ Epoch 60: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.800, acc2=69.214, loss=0.933, lr=4.00000e-05]
Evaluation Classifier @ Epoch 60: 100% 9/9 [00:02<00:00,  3.65it/s, acc1=41.775, acc2=66.623, loss=1.140]
Training Classifier @ Epoch 61: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.702, acc2=69.169, loss=0.931, lr=4.00000e-05]
Evaluation Classifier @ Epoch 61: 100% 9/9 [00:02<00:00,  3.72it/s, acc1=41.580, acc2=67.101, loss=1.115]
Training Classifier @ Epoch 62: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.698, acc2=69.240, loss=0.931, lr=4.00000e-05]
Evaluation Classifier @ Epoch 62: 100% 9/9 [00:02<00:00,  3.61it/s, acc1=41.634, acc2=67.079, loss=1.131]
Training Classifier @ Epoch 63: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.714, acc2=69.277, loss=0.931, lr=4.00000e-05]
Evaluation Classifier @ Epoch 63: 100% 9/9 [00:02<00:00,  3.70it/s, acc1=41.580, acc2=66.602, loss=1.144]
Training Classifier @ Epoch 64: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.796, acc2=69.224, loss=0.929, lr=4.00000e-05]
Evaluation Classifier @ Epoch 64: 100% 9/9 [00:02<00:00,  3.76it/s, acc1=41.656, acc2=66.992, loss=1.128]
Training Classifier @ Epoch 65: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.676, acc2=69.326, loss=0.929, lr=4.00000e-05]
Evaluation Classifier @ Epoch 65: 100% 9/9 [00:02<00:00,  3.63it/s, acc1=41.612, acc2=66.764, loss=1.141]
Training Classifier @ Epoch 66: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.830, acc2=69.297, loss=0.929, lr=4.00000e-05]
Evaluation Classifier @ Epoch 66: 100% 9/9 [00:02<00:00,  3.71it/s, acc1=41.482, acc2=66.764, loss=1.138]
Training Classifier @ Epoch 67: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.820, acc2=69.177, loss=0.928, lr=4.00000e-05]
Evaluation Classifier @ Epoch 67: 100% 9/9 [00:02<00:00,  3.61it/s, acc1=41.515, acc2=66.949, loss=1.134]
Training Classifier @ Epoch 68: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=44.830, acc2=69.415, loss=0.928, lr=4.00000e-05]
Evaluation Classifier @ Epoch 68: 100% 9/9 [00:02<00:00,  3.71it/s, acc1=41.569, acc2=66.710, loss=1.134]
Training Classifier @ Epoch 69: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.814, acc2=69.346, loss=0.926, lr=4.00000e-05]
Evaluation Classifier @ Epoch 69: 100% 9/9 [00:02<00:00,  3.67it/s, acc1=41.569, acc2=66.645, loss=1.152]
Training Classifier @ Epoch 70: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.849, acc2=69.346, loss=0.927, lr=4.00000e-05]
Evaluation Classifier @ Epoch 70: 100% 9/9 [00:02<00:00,  3.70it/s, acc1=41.580, acc2=66.775, loss=1.144]
Training Classifier @ Epoch 71: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=44.954, acc2=69.503, loss=0.926, lr=4.00000e-05]
Evaluation Classifier @ Epoch 71: 100% 9/9 [00:02<00:00,  3.66it/s, acc1=41.602, acc2=66.678, loss=1.158]
Training Classifier @ Epoch 72: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.961, acc2=69.468, loss=0.926, lr=4.00000e-05]
Evaluation Classifier @ Epoch 72: 100% 9/9 [00:02<00:00,  3.78it/s, acc1=41.406, acc2=66.927, loss=1.131]
Training Classifier @ Epoch 73: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.910, acc2=69.470, loss=0.924, lr=4.00000e-05]
Evaluation Classifier @ Epoch 73: 100% 9/9 [00:02<00:00,  3.53it/s, acc1=41.504, acc2=66.808, loss=1.150]
Training Classifier @ Epoch 74: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.773, acc2=69.387, loss=0.926, lr=4.00000e-05]
Evaluation Classifier @ Epoch 74: 100% 9/9 [00:02<00:00,  3.64it/s, acc1=41.439, acc2=66.938, loss=1.140]
Training Classifier @ Epoch 75: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.914, acc2=69.491, loss=0.924, lr=4.00000e-05]
Evaluation Classifier @ Epoch 75: 100% 9/9 [00:02<00:00,  3.65it/s, acc1=41.699, acc2=66.992, loss=1.138]
Training Classifier @ Epoch 76: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=44.916, acc2=69.590, loss=0.923, lr=4.00000e-05]
Evaluation Classifier @ Epoch 76: 100% 9/9 [00:02<00:00,  3.67it/s, acc1=41.526, acc2=67.112, loss=1.126]
Training Classifier @ Epoch 77: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.904, acc2=69.421, loss=0.924, lr=4.00000e-05]
Evaluation Classifier @ Epoch 77: 100% 9/9 [00:02<00:00,  3.66it/s, acc1=41.482, acc2=66.862, loss=1.142]
Training Classifier @ Epoch 78: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.908, acc2=69.405, loss=0.923, lr=4.00000e-05]
Evaluation Classifier @ Epoch 78: 100% 9/9 [00:02<00:00,  3.68it/s, acc1=41.526, acc2=66.298, loss=1.169]
Training Classifier @ Epoch 79: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.971, acc2=69.480, loss=0.924, lr=4.00000e-05]
Evaluation Classifier @ Epoch 79: 100% 9/9 [00:02<00:00,  3.72it/s, acc1=41.580, acc2=67.068, loss=1.137]
(Epoch: 79) > Model Saved.
Training Classifier @ Epoch 80: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=45.001, acc2=69.643, loss=0.921, lr=8.00000e-06]
Evaluation Classifier @ Epoch 80: 100% 9/9 [00:02<00:00,  3.67it/s, acc1=41.688, acc2=66.819, loss=1.149]
Training Classifier @ Epoch 81: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=45.032, acc2=69.584, loss=0.922, lr=8.00000e-06]
Evaluation Classifier @ Epoch 81: 100% 9/9 [00:02<00:00,  3.69it/s, acc1=41.656, acc2=66.786, loss=1.150]
Training Classifier @ Epoch 82: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.946, acc2=69.480, loss=0.920, lr=8.00000e-06]
Evaluation Classifier @ Epoch 82: 100% 9/9 [00:02<00:00,  3.62it/s, acc1=41.591, acc2=66.851, loss=1.150]
Training Classifier @ Epoch 83: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=45.056, acc2=69.594, loss=0.920, lr=8.00000e-06]
Evaluation Classifier @ Epoch 83: 100% 9/9 [00:02<00:00,  3.70it/s, acc1=41.580, acc2=66.699, loss=1.155]
Training Classifier @ Epoch 84: 100% 48/48 [00:21<00:00,  2.24it/s, acc1=45.005, acc2=69.572, loss=0.921, lr=8.00000e-06]
Evaluation Classifier @ Epoch 84: 100% 9/9 [00:02<00:00,  3.64it/s, acc1=41.602, acc2=66.732, loss=1.154]
Training Classifier @ Epoch 85: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.930, acc2=69.582, loss=0.922, lr=8.00000e-06]
Evaluation Classifier @ Epoch 85: 100% 9/9 [00:02<00:00,  3.71it/s, acc1=41.656, acc2=66.721, loss=1.157]
Training Classifier @ Epoch 86: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.869, acc2=69.486, loss=0.921, lr=8.00000e-06]
Evaluation Classifier @ Epoch 86: 100% 9/9 [00:02<00:00,  3.71it/s, acc1=41.623, acc2=66.949, loss=1.149]
Training Classifier @ Epoch 87: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=45.085, acc2=69.550, loss=0.920, lr=8.00000e-06]
Evaluation Classifier @ Epoch 87: 100% 9/9 [00:02<00:00,  3.65it/s, acc1=41.612, acc2=66.829, loss=1.150]
Training Classifier @ Epoch 88: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=45.036, acc2=69.379, loss=0.922, lr=8.00000e-06]
Evaluation Classifier @ Epoch 88: 100% 9/9 [00:02<00:00,  3.69it/s, acc1=41.634, acc2=66.786, loss=1.154]
Training Classifier @ Epoch 89: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.997, acc2=69.619, loss=0.921, lr=8.00000e-06]
Evaluation Classifier @ Epoch 89: 100% 9/9 [00:02<00:00,  3.65it/s, acc1=41.602, acc2=66.797, loss=1.156]
Training Classifier @ Epoch 90: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=45.007, acc2=69.509, loss=0.920, lr=8.00000e-06]
Evaluation Classifier @ Epoch 90: 100% 9/9 [00:02<00:00,  3.68it/s, acc1=41.580, acc2=66.949, loss=1.149]
Training Classifier @ Epoch 91: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.967, acc2=69.552, loss=0.920, lr=8.00000e-06]
Evaluation Classifier @ Epoch 91: 100% 9/9 [00:02<00:00,  3.62it/s, acc1=41.569, acc2=66.797, loss=1.153]
Training Classifier @ Epoch 92: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=45.070, acc2=69.560, loss=0.920, lr=8.00000e-06]
Evaluation Classifier @ Epoch 92: 100% 9/9 [00:02<00:00,  3.69it/s, acc1=41.634, acc2=66.753, loss=1.157]
Training Classifier @ Epoch 93: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=45.150, acc2=69.560, loss=0.918, lr=8.00000e-06]
Evaluation Classifier @ Epoch 93: 100% 9/9 [00:02<00:00,  3.64it/s, acc1=41.678, acc2=66.764, loss=1.159]
Training Classifier @ Epoch 94: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=45.054, acc2=69.604, loss=0.920, lr=8.00000e-06]
Evaluation Classifier @ Epoch 94: 100% 9/9 [00:02<00:00,  3.58it/s, acc1=41.569, acc2=66.764, loss=1.155]
Training Classifier @ Epoch 95: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=45.024, acc2=69.480, loss=0.920, lr=8.00000e-06]
Evaluation Classifier @ Epoch 95: 100% 9/9 [00:02<00:00,  3.76it/s, acc1=41.558, acc2=66.819, loss=1.154]
Training Classifier @ Epoch 96: 100% 48/48 [00:21<00:00,  2.25it/s, acc1=44.906, acc2=69.552, loss=0.920, lr=8.00000e-06]
